date,sunrise(UTC),sunset(UTC)
2000-01-01,1999-12-31 20:06:38.444661376,2000-01-01 08:20:39.908245248
2000-01-02,2000-01-01 20:07:07.708542720,2000-01-02 08:21:07.342338560
2000-01-03,2000-01-02 20:07:36.726734976,2000-01-03 08:21:34.371180672
2000-01-04,2000-01-03 20:08:05.464764288,2000-01-04 08:22:00.962267264
2000-01-05,2000-01-04 20:08:33.888653824,2000-01-05 08:22:27.083652992
2000-01-06,2000-01-05 20:09:01.964995584,2000-01-06 08:22:52.704039680
2000-01-07,2000-01-06 20:09:29.661014528,2000-01-07 08:23:17.792834048
2000-01-08,2000-01-07 20:09:56.944672896,2000-01-08 08:23:42.320211072
2000-01-09,2000-01-08 20:10:23.784814720,2000-01-09 08:24:06.257211904
2000-01-10,2000-01-09 20:10:50.151322240,2000-01-10 08:24:29.575881216
2000-01-11,2000-01-10 20:11:16.015283456,2000-01-11 08:24:52.249443200
2000-01-12,2000-01-11 20:11:41.349202432,2000-01-12 08:25:14.252522368
2000-01-13,2000-01-12 20:12:06.127265664,2000-01-13 08:25:35.561409536
2000-01-14,2000-01-13 20:12:30.325604224,2000-01-14 08:25:56.154342656
2000-01-15,2000-01-14 20:12:53.922441728,2000-01-15 08:26:16.011739520
2000-01-16,2000-01-15 20:13:16.898080000,2000-01-16 08:26:35.116323328
2000-01-17,2000-01-16 20:13:39.234797568,2000-01-17 08:26:53.453125632
2000-01-18,2000-01-17 20:14:00.916805632,2000-01-18 08:27:11.009404672
2000-01-19,2000-01-18 20:14:21.930331648,2000-01-19 08:27:27.774532864
2000-01-20,2000-01-19 20:14:42.263724544,2000-01-20 08:27:43.739859072
2000-01-21,2000-01-20 20:15:01.907373696,2000-01-21 08:27:58.898508288
2000-01-22,2000-01-21 20:15:20.853304064,2000-01-22 08:28:13.245070336
2000-01-23,2000-01-22 20:15:39.094521984,2000-01-23 08:28:26.775188992
2000-01-24,2000-01-23 20:15:56.624352768,2000-01-24 08:28:39.485127424
2000-01-25,2000-01-24 20:16:13.436007552,2000-01-25 08:28:51.371416320
2000-01-26,2000-01-25 20:16:29.522466560,2000-01-26 08:29:02.430652928
2000-01-27,2000-01-26 20:16:44.876593536,2000-01-27 08:29:12.659455360
2000-01-28,2000-01-27 20:16:59.491338752,2000-01-28 08:29:22.054525312
2000-01-29,2000-01-28 20:17:13.359935872,2000-01-29 08:29:30.612772224
2000-01-30,2000-01-29 20:17:26.476073856,2000-01-30 08:29:38.331456896
2000-01-31,2000-01-30 20:17:38.834038528,2000-01-31 08:29:45.208327936
2000-02-01,2000-01-31 20:17:50.428810368,2000-02-01 08:29:51.241726464
2000-02-02,2000-02-01 20:18:01.256100480,2000-02-02 08:29:56.430641664
2000-02-03,2000-02-02 20:18:11.312338432,2000-02-03 08:30:00.774716672
2000-02-04,2000-02-03 20:18:20.594659456,2000-02-04 08:30:04.274231424
2000-02-05,2000-02-04 20:18:29.100926208,2000-02-05 08:30:06.930087424
2000-02-06,2000-02-05 20:18:36.829780864,2000-02-06 08:30:08.743819904
2000-02-07,2000-02-06 20:18:43.780702848,2000-02-07 08:30:09.717639168
2000-02-08,2000-02-07 20:18:49.954069632,2000-02-08 08:30:09.854511488
2000-02-09,2000-02-08 20:18:55.351254912,2000-02-09 08:30:09.158290048
2000-02-10,2000-02-09 20:18:59.974790528,2000-02-10 08:30:07.633900672
2000-02-11,2000-02-10 20:19:03.828572672,2000-02-11 08:30:05.287565312
2000-02-12,2000-02-11 20:19:06.918049280,2000-02-12 08:30:02.127021696
2000-02-13,2000-02-12 20:19:09.250347520,2000-02-13 08:29:58.161696256
2000-02-14,2000-02-13 20:19:10.834357632,2000-02-14 08:29:53.402811776
2000-02-15,2000-02-14 20:19:11.680824064,2000-02-15 08:29:47.863427200
2000-02-16,2000-02-15 20:19:11.802440960,2000-02-16 08:29:41.558412032
2000-02-17,2000-02-16 20:19:11.213857792,2000-02-17 08:29:34.504335232
2000-02-18,2000-02-17 20:19:09.931466880,2000-02-18 08:29:26.719238272
2000-02-19,2000-02-18 20:19:07.972920320,2000-02-19 08:29:18.222282752
2000-02-20,2000-02-19 20:19:05.356477696,2000-02-20 08:29:09.033313920
2000-02-21,2000-02-20 20:19:02.100383744,2000-02-21 08:28:59.172420736
2000-02-22,2000-02-21 20:18:58.222455552,2000-02-22 08:28:48.659579776
2000-02-23,2000-02-22 20:18:53.739933440,2000-02-23 08:28:37.514428800
2000-02-24,2000-02-23 20:18:48.669525504,2000-02-24 08:28:25.756170368
2000-02-25,2000-02-24 20:18:43.027530368,2000-02-25 08:28:13.403568640
2000-02-26,2000-02-25 20:18:36.829963904,2000-02-26 08:28:00.475005568
2000-02-27,2000-02-26 20:18:30.092667136,2000-02-27 08:27:46.988562304
2000-02-28,2000-02-27 20:18:22.831392128,2000-02-28 08:27:32.962104704
2000-02-29,2000-02-28 20:18:15.061856640,2000-02-29 08:27:18.413350912
2000-03-01,2000-02-29 20:18:06.799751424,2000-03-01 08:27:03.359903104
2000-03-02,2000-03-01 20:17:58.060710016,2000-03-02 08:26:47.819241216
2000-03-03,2000-03-02 20:17:48.860271872,2000-03-03 08:26:31.808691456
2000-03-04,2000-03-03 20:17:39.213869568,2000-03-04 08:26:15.345391616
2000-03-05,2000-03-04 20:17:29.136835584,2000-03-05 08:25:58.446267392
2000-03-06,2000-03-05 20:17:18.644411136,2000-03-06 08:25:41.128030464
2000-03-07,2000-03-06 20:17:07.751745920,2000-03-07 08:25:23.407208960
2000-03-08,2000-03-07 20:16:56.473921664,2000-03-08 08:25:05.300225408
2000-03-09,2000-03-08 20:16:44.826050816,2000-03-09 08:24:46.823540096
2000-03-10,2000-03-09 20:16:32.823487744,2000-03-10 08:24:27.993867520
2000-03-11,2000-03-10 20:16:20.482134912,2000-03-11 08:24:08.828445952
2000-03-12,2000-03-11 20:16:07.818788352,2000-03-12 08:23:49.345325440
2000-03-13,2000-03-12 20:15:54.851460736,2000-03-13 08:23:29.563628288
2000-03-14,2000-03-13 20:15:41.599627648,2000-03-14 08:23:09.503738368
2000-03-15,2000-03-14 20:15:28.084346112,2000-03-15 08:22:49.187389568
2000-03-16,2000-03-15 20:15:14.328200064,2000-03-16 08:22:28.637622144
2000-03-17,2000-03-16 20:15:00.355031168,2000-03-17 08:22:07.878598528
2000-03-18,2000-03-17 20:14:46.189477760,2000-03-18 08:21:46.935289728
2000-03-19,2000-03-18 20:14:31.856414592,2000-03-19 08:21:25.833081216
2000-03-20,2000-03-19 20:14:17.380433024,2000-03-20 08:21:04.597372032
2000-03-21,2000-03-20 20:14:02.785488896,2000-03-21 08:20:43.253239936
2000-03-22,2000-03-21 20:13:48.094749312,2000-03-22 08:20:21.825215104
2000-03-23,2000-03-22 20:13:33.330599552,2000-03-23 08:20:00.337164928
2000-03-24,2000-03-23 20:13:18.514716800,2000-03-24 08:19:38.812260992
2000-03-25,2000-03-24 20:13:03.668151680,2000-03-25 08:19:17.272998144
2000-03-26,2000-03-25 20:12:48.811395840,2000-03-26 08:18:55.741237888
2000-03-27,2000-03-26 20:12:33.964438144,2000-03-27 08:18:34.238264832
2000-03-28,2000-03-27 20:12:19.146799616,2000-03-28 08:18:12.784833664
2000-03-29,2000-03-28 20:12:04.377531904,2000-03-29 08:17:51.401191296
2000-03-30,2000-03-29 20:11:49.675171200,2000-03-30 08:17:30.107058944
2000-03-31,2000-03-30 20:11:35.057668608,2000-03-31 08:17:08.921578752
2000-04-01,2000-03-31 20:11:20.542329984,2000-04-01 08:16:47.863247360
2000-04-02,2000-04-01 20:11:06.145772544,2000-04-02 08:16:26.949848448
2000-04-03,2000-04-02 20:10:51.883873664,2000-04-03 08:16:06.198398080
