date,filepath,diff
1998-02-01,3,
1999-06-21,3,505 days
1999-06-22,4,1 days
1999-06-23,3,1 days
2000-01-19,3,210 days
2000-01-31,3,12 days
2000-02-07,3,7 days
2000-02-14,3,7 days
2000-03-07,3,22 days
2000-03-12,3,5 days
2000-03-19,3,7 days
2000-04-06,3,18 days
2000-04-08,3,2 days
2000-04-11,3,3 days
2000-05-21,3,40 days
2000-06-02,3,12 days
2000-06-18,3,16 days
2000-06-22,3,4 days
2000-07-21,3,29 days
2000-09-15,3,56 days
2000-09-18,3,3 days
2000-09-30,3,12 days
2000-10-08,3,8 days
2000-10-12,3,4 days
2000-10-30,3,18 days
2000-11-04,4,5 days
2000-11-07,3,3 days
2000-11-09,3,2 days
2000-11-21,3,12 days
2000-12-19,3,28 days
2001-01-11,3,23 days
2001-02-18,3,38 days
2001-04-22,3,63 days
2001-05-15,3,23 days
2001-05-27,3,12 days
2001-05-30,3,3 days
2001-09-07,3,100 days
2001-11-03,3,57 days
2001-11-17,3,14 days
2002-02-14,3,89 days
2002-03-31,3,45 days
2002-05-04,3,34 days
2002-05-09,3,5 days
2002-05-17,3,8 days
2002-10-04,3,140 days
2002-11-26,3,53 days
2003-02-13,3,79 days
2003-06-13,3,120 days
2003-10-29,3,138 days
2003-12-23,3,55 days
2004-02-01,3,40 days
2004-04-24,3,83 days
2004-08-30,3,128 days
2004-09-08,3,9 days
2004-09-15,3,7 days
2004-11-16,3,62 days
2004-12-06,3,20 days
2004-12-13,3,7 days
2005-01-10,3,28 days
2005-04-14,3,94 days
2005-04-21,3,7 days
2005-05-18,3,27 days
2005-08-09,3,83 days
2005-08-14,3,5 days
2005-09-09,3,26 days
2005-10-08,3,29 days
2005-10-27,3,19 days
2005-12-11,3,45 days
2006-01-23,3,43 days
2006-04-20,3,87 days
2006-05-19,3,29 days
2006-08-20,3,93 days
2006-09-28,3,39 days
2006-10-08,3,10 days
2006-10-23,3,15 days
2006-11-07,3,15 days
2007-02-04,3,89 days
2007-03-08,3,32 days
2007-03-11,3,3 days
2007-03-14,3,3 days
2007-03-18,3,4 days
2007-05-08,3,51 days
2007-05-10,3,2 days
2007-05-13,3,3 days
2007-06-07,3,25 days
2007-06-17,3,10 days
2007-06-18,4,1 days
2007-07-06,3,18 days
2007-07-17,3,11 days
2007-07-23,3,6 days
2007-07-30,3,7 days
2007-08-01,3,2 days
2007-08-08,3,7 days
2007-08-10,3,2 days
2007-08-13,3,3 days
2007-08-30,3,17 days
2007-08-31,3,1 days
2007-09-09,3,9 days
2007-09-11,3,2 days
2007-09-20,3,9 days
2007-09-22,3,2 days
2007-10-18,3,26 days
2007-10-19,3,1 days
